"comparison","Category","Subcategory","Enrichment","Q_value","Observed","miRNAs_with_rank"
"EDAD_gt70_vs_40_60","Reactome (miRPathDB)","Activation of BH3-only proteins","enriched",0.0036067,28,"hsa-miR-708-5p (#1, logFC=0.955); hsa-miR-135a-5p (#6, logFC=0.877); hsa-miR-9-3p (#8, logFC=0.580); hsa-miR-148a-3p (#10, logFC=0.628); hsa-miR-451a (#18, logFC=0.601); hsa-miR-223-3p (#19, logFC=0.418); hsa-miR-34a-5p (#20, logFC=0.310); hsa-miR-15a-5p (#25, logFC=0.292); hsa-miR-221-3p (#26, logFC=0.310); hsa-miR-497-5p (#31, logFC=0.276); hsa-miR-126-3p (#32, logFC=0.257); hsa-miR-29c-3p (#37, logFC=0.250); hsa-miR-195-5p (#42, logFC=0.151); hsa-miR-143-3p (#47, logFC=0.150); hsa-miR-409-3p (#49, logFC=0.127); hsa-miR-30e-3p (#51, logFC=0.098); hsa-miR-29a-3p (#54, logFC=0.075); hsa-miR-125b-5p (#55, logFC=0.070); hsa-miR-21-5p (#58, logFC=0.114); hsa-miR-222-3p (#59, logFC=0.066); hsa-miR-29b-3p (#74, logFC=-0.014); hsa-miR-30a-3p (#82, logFC=-0.061); hsa-miR-193b-3p (#101, logFC=-0.145); hsa-miR-24-3p (#109, logFC=-0.135); hsa-miR-125a-5p (#113, logFC=-0.184); hsa-miR-423-3p (#127, logFC=-0.232); hsa-miR-138-5p (#136, logFC=-0.583); hsa-miR-193a-5p (#184, logFC=-1.411)"
"EDAD_gt70_vs_40_60","Reactome (miRPathDB)","Activation of BAD and translocation to mitochondria","enriched",0.0053356,20,"hsa-miR-708-5p (#1, logFC=0.955); hsa-miR-451a (#18, logFC=0.601); hsa-miR-34a-5p (#20, logFC=0.310); hsa-miR-15a-5p (#25, logFC=0.292); hsa-miR-221-3p (#26, logFC=0.310); hsa-miR-497-5p (#31, logFC=0.276); hsa-miR-126-3p (#32, logFC=0.257); hsa-miR-22-3p (#33, logFC=0.280); hsa-miR-29c-3p (#37, logFC=0.250); hsa-miR-195-5p (#42, logFC=0.151); hsa-miR-365a-3p (#43, logFC=0.141); hsa-miR-143-3p (#47, logFC=0.150); hsa-miR-409-3p (#49, logFC=0.127); hsa-miR-30e-3p (#51, logFC=0.098); hsa-miR-29a-3p (#54, logFC=0.075); hsa-miR-29b-3p (#74, logFC=-0.014); hsa-miR-30a-3p (#82, logFC=-0.061); hsa-miR-378a-3p (#115, logFC=-0.200); hsa-miR-15b-5p (#179, logFC=-0.886); hsa-let-7e-5p (#185, logFC=-1.179)"
"EDAD_gt70_vs_40_60","Reactome (miRPathDB)","AKT phosphorylates targets in the cytosol","enriched",0.0068308,17,"hsa-miR-708-5p (#1, logFC=0.955); hsa-miR-223-3p (#19, logFC=0.418); hsa-miR-15a-5p (#25, logFC=0.292); hsa-miR-221-3p (#26, logFC=0.310); hsa-miR-126-3p (#32, logFC=0.257); hsa-miR-22-3p (#33, logFC=0.280); hsa-miR-29c-3p (#37, logFC=0.250); hsa-miR-195-5p (#42, logFC=0.151); hsa-miR-365a-3p (#43, logFC=0.141); hsa-miR-143-3p (#47, logFC=0.150); hsa-miR-29a-3p (#54, logFC=0.075); hsa-miR-222-3p (#59, logFC=0.066); hsa-miR-152-3p (#68, logFC=0.020); hsa-miR-29b-3p (#74, logFC=-0.014); hsa-miR-185-5p (#86, logFC=-0.084); hsa-miR-145-5p (#95, logFC=-0.129); hsa-miR-744-5p (#96, logFC=-0.156)"
"EDAD_gt70_vs_40_60","Reactome (miRPathDB)","Signaling by Receptor Tyrosine Kinases","enriched",0.0085249,35,"hsa-miR-135a-5p (#6, logFC=0.877); hsa-miR-9-3p (#8, logFC=0.580); hsa-miR-30a-5p (#11, logFC=0.563); hsa-miR-376c-3p (#14, logFC=0.572); hsa-miR-451a (#18, logFC=0.601); hsa-miR-223-3p (#19, logFC=0.418); hsa-miR-34a-5p (#20, logFC=0.310); hsa-miR-15a-5p (#25, logFC=0.292); hsa-miR-221-3p (#26, logFC=0.310); hsa-miR-126-3p (#32, logFC=0.257); hsa-miR-218-5p (#34, logFC=0.406); hsa-miR-194-5p (#35, logFC=0.242); hsa-miR-29c-3p (#37, logFC=0.250); hsa-miR-195-5p (#42, logFC=0.151); hsa-miR-365a-3p (#43, logFC=0.141); hsa-miR-143-3p (#47, logFC=0.150); hsa-miR-124-3p (#52, logFC=0.194); hsa-miR-29a-3p (#54, logFC=0.075); hsa-miR-125b-5p (#55, logFC=0.070); hsa-miR-21-5p (#58, logFC=0.114); hsa-miR-152-3p (#68, logFC=0.020); hsa-miR-101-3p (#72, logFC=-0.005); hsa-miR-29b-3p (#74, logFC=-0.014); hsa-miR-139-5p (#80, logFC=-0.073); hsa-miR-185-5p (#86, logFC=-0.084); hsa-miR-132-3p (#87, logFC=-0.108); hsa-miR-16-5p (#94, logFC=-0.120); hsa-miR-145-5p (#95, logFC=-0.129); hsa-miR-744-5p (#96, logFC=-0.156); hsa-miR-125a-5p (#113, logFC=-0.184); hsa-miR-378a-3p (#115, logFC=-0.200); hsa-miR-146a-5p (#129, logFC=-0.374); hsa-miR-155-5p (#144, logFC=-0.638); hsa-miR-181a-5p (#152, logFC=-0.601); hsa-miR-15b-5p (#179, logFC=-0.886)"
"EDAD_gt70_vs_40_60","Reactome (miRPathDB)","AKT phosphorylates targets in the nucleus","enriched",0.0136793,10,"hsa-miR-708-5p (#1, logFC=0.955); hsa-miR-9-5p (#5, logFC=0.781); hsa-miR-223-3p (#19, logFC=0.418); hsa-miR-126-3p (#32, logFC=0.257); hsa-miR-143-3p (#47, logFC=0.150); hsa-miR-29a-3p (#54, logFC=0.075); hsa-miR-21-5p (#58, logFC=0.114); hsa-miR-222-3p (#59, logFC=0.066); hsa-miR-182-5p (#63, logFC=0.062); hsa-miR-29b-3p (#74, logFC=-0.014)"
"EDAD_gt70_vs_40_60","Reactome (miRPathDB)","Estrogen-dependent nuclear events downstream of ESR-membrane signaling","enriched",0.0136793,28,"hsa-miR-708-5p (#1, logFC=0.955); hsa-miR-9-5p (#5, logFC=0.781); hsa-miR-135a-5p (#6, logFC=0.877); hsa-miR-9-3p (#8, logFC=0.580); hsa-miR-376c-3p (#14, logFC=0.572); hsa-miR-451a (#18, logFC=0.601); hsa-miR-34a-5p (#20, logFC=0.310); hsa-miR-221-3p (#26, logFC=0.310); hsa-miR-126-3p (#32, logFC=0.257); hsa-miR-194-5p (#35, logFC=0.242); hsa-miR-29c-3p (#37, logFC=0.250); hsa-miR-365a-3p (#43, logFC=0.141); hsa-miR-143-3p (#47, logFC=0.150); hsa-miR-30e-3p (#51, logFC=0.098); hsa-miR-29a-3p (#54, logFC=0.075); hsa-miR-21-5p (#58, logFC=0.114); hsa-miR-222-3p (#59, logFC=0.066); hsa-miR-182-5p (#63, logFC=0.062); hsa-miR-152-3p (#68, logFC=0.020); hsa-miR-29b-3p (#74, logFC=-0.014); hsa-miR-139-5p (#80, logFC=-0.073); hsa-miR-30a-3p (#82, logFC=-0.061); hsa-miR-125a-5p (#113, logFC=-0.184); hsa-miR-146b-5p (#114, logFC=-0.287); hsa-miR-146a-5p (#129, logFC=-0.374); hsa-miR-138-5p (#136, logFC=-0.583); hsa-miR-155-5p (#144, logFC=-0.638); hsa-miR-181a-5p (#152, logFC=-0.601)"
"EDAD_gt70_vs_40_60","Reactome (miRPathDB)","RUNX2 regulates genes involved in cell migration","enriched",0.0290031,10,"hsa-miR-708-5p (#1, logFC=0.955); hsa-miR-126-3p (#32, logFC=0.257); hsa-miR-29c-3p (#37, logFC=0.250); hsa-miR-365a-3p (#43, logFC=0.141); hsa-miR-143-3p (#47, logFC=0.150); hsa-miR-29a-3p (#54, logFC=0.075); hsa-miR-125b-5p (#55, logFC=0.070); hsa-miR-100-5p (#56, logFC=0.084); hsa-miR-29b-3p (#74, logFC=-0.014); hsa-miR-30a-3p (#82, logFC=-0.061)"
"EDAD_gt70_vs_40_60","Reactome (miRPathDB)","Other interleukin signaling","enriched",0.0382405,12,"hsa-miR-135a-5p (#6, logFC=0.877); hsa-miR-34a-5p (#20, logFC=0.310); hsa-miR-126-3p (#32, logFC=0.257); hsa-miR-143-3p (#47, logFC=0.150); hsa-miR-29a-3p (#54, logFC=0.075); hsa-miR-125b-5p (#55, logFC=0.070); hsa-miR-152-3p (#68, logFC=0.020); hsa-miR-29b-3p (#74, logFC=-0.014); hsa-miR-139-5p (#80, logFC=-0.073); hsa-miR-30c-5p (#83, logFC=-0.049); hsa-miR-331-3p (#92, logFC=-0.115); hsa-miR-145-5p (#95, logFC=-0.129)"
"EDAD_gt70_vs_40_60","Reactome (miRPathDB)","Regulation of TP53 Expression and Degradation","enriched",0.0405656,22,"hsa-miR-376c-3p (#14, logFC=0.572); hsa-miR-223-3p (#19, logFC=0.418); hsa-miR-126-3p (#32, logFC=0.257); hsa-miR-29c-3p (#37, logFC=0.250); hsa-miR-365a-3p (#43, logFC=0.141); hsa-miR-99a-5p (#45, logFC=0.164); hsa-miR-143-3p (#47, logFC=0.150); hsa-miR-29a-3p (#54, logFC=0.075); hsa-miR-125b-5p (#55, logFC=0.070); hsa-miR-100-5p (#56, logFC=0.084); hsa-miR-21-5p (#58, logFC=0.114); hsa-miR-222-3p (#59, logFC=0.066); hsa-miR-29b-3p (#74, logFC=-0.014); hsa-miR-30b-5p (#81, logFC=-0.051); hsa-miR-30c-5p (#83, logFC=-0.049); hsa-miR-185-5p (#86, logFC=-0.084); hsa-miR-16-5p (#94, logFC=-0.120); hsa-miR-454-3p (#102, logFC=-0.143); hsa-miR-10b-5p (#103, logFC=-0.210); hsa-miR-24-3p (#109, logFC=-0.135); hsa-miR-125a-5p (#113, logFC=-0.184); hsa-miR-361-5p (#154, logFC=-0.490)"
"EDAD_gt70_vs_40_60","Reactome (miRPathDB)","Signaling by NTRK2 TRKB","enriched",0.0405656,8,"hsa-miR-27a-3p (#2, logFC=0.875); hsa-miR-376c-3p (#14, logFC=0.572); hsa-miR-126-3p (#32, logFC=0.257); hsa-miR-22-3p (#33, logFC=0.280); hsa-miR-365a-3p (#43, logFC=0.141); hsa-miR-143-3p (#47, logFC=0.150); hsa-miR-124-3p (#52, logFC=0.194); hsa-miR-139-5p (#80, logFC=-0.073)"
